~ ~ ~ ~ ~ Using Runge-Kutta 4th Order Method ~ ~ ~ ~ ~ 

  Time   :        θ1         /         θ2        /         ω1         /         ω1       
0.640000 : -0.233874068842671 / 0.345543933904032 / -0.334579792360501 / -1.300524788916092 
0.641000 : -0.234208815980705 / 0.344242758635913 / -0.328228377536986 / -1.309245025310088 
0.642000 : -0.234537208527149 / 0.342932858769828 / -0.321867125316616 / -1.317962496594849 
0.643000 : -0.234859236639686 / 0.341614237072269 / -0.315496054926521 / -1.326677204970240 
0.644000 : -0.235174890495236 / 0.340286896307529 / -0.309115186991184 / -1.335389151553997 
0.645000 : -0.235484160291353 / 0.338950839238778 / -0.302724543560548 / -1.344098336342187 
0.646000 : -0.235787036247652 / 0.337606068629196 / -0.296324148138614 / -1.352804758168950 
0.647000 : -0.236083508607264 / 0.336252587243124 / -0.289914025712502 / -1.361508414665513 
0.648000 : -0.236373567638321 / 0.334890397847276 / -0.283494202782007 / -1.370209302218465 
0.649000 : -0.236657203635465 / 0.333519503211981 / -0.277064707389648 / -1.378907415927287 
0.650000 : -0.236934406921397 / 0.332139906112471 / -0.270625569151221 / -1.387602749561104 
0.651000 : -0.237205167848449 / 0.330751609330210 / -0.264176819286873 / -1.396295295514671 
0.652000 : -0.237469476800186 / 0.329354615654273 / -0.257718490652685 / -1.404985044763567 
0.653000 : -0.237727324193047 / 0.327948927882765 / -0.251250617772796 / -1.413671986818579 
0.654000 : -0.237978700478015 / 0.326534548824282 / -0.244773236872065 / -1.422356109679283 
0.655000 : -0.238223596142311 / 0.325111481299429 / -0.238286385909280 / -1.431037399786785 
0.656000 : -0.238462001711137 / 0.323679728142376 / -0.231790104610921 / -1.439715841975633 
0.657000 : -0.238693907749442 / 0.322239292202467 / -0.225284434505495 / -1.448391419424871 
0.658000 : -0.238919304863722 / 0.320790176345874 / -0.218769418958439 / -1.457064113608227 
0.659000 : -0.239138183703860 / 0.319332383457304 / -0.212245103207609 / -1.465733904243424 
0.660000 : -0.239350534965002 / 0.317865916441758 / -0.205711534399360 / -1.474400769240610 
0.661000 : -0.239556349389463 / 0.316390778226338 / -0.199168761625217 / -1.483064684649874 
0.662000 : -0.239755617768672 / 0.314906971762107 / -0.192616835959168 / -1.491725624607858 
0.663000 : -0.239948330945160 / 0.313414500026003 / -0.186055810495558 / -1.500383561283439 
0.664000 : -0.240134479814578 / 0.311913366022813 / -0.179485740387613 / -1.509038464822477 
0.665000 : -0.240314055327757 / 0.310403572787189 / -0.172906682886593 / -1.517690303291615 
0.666000 : -0.240487048492810 / 0.308885123385734 / -0.166318697381585 / -1.526339042621113 
0.667000 : -0.240653450377267 / 0.307358020919138 / -0.159721845439941 / -1.534984646546723 
0.668000 : -0.240813252110257 / 0.305822268524373 / -0.153116190848364 / -1.543627076550567 
0.669000 : -0.240966444884727 / 0.304277869376949 / -0.146501799654668 / -1.552266291801040 
0.670000 : -0.241113019959704 / 0.302724826693226 / -0.139878740210188 / -1.560902249091696 
0.671000 : -0.241252968662603 / 0.301163143732795 / -0.133247083212876 / -1.569534902779125 
0.672000 : -0.241386282391571 / 0.299592823800910 / -0.126606901751070 / -1.578164204719814 
0.673000 : -0.241512952617880 / 0.298013870250994 / -0.119958271347958 / -1.586790104205968 
0.674000 : -0.241632970888361 / 0.296426286487205 / -0.113301270006723 / -1.595412547900289 
0.675000 : -0.241746328827891 / 0.294830075967062 / -0.106635978256393 / -1.604031479769714 
0.676000 : -0.241853018141914 / 0.293225242204147 / -0.099962479198393 / -1.612646841018083 
0.677000 : -0.241953030619016 / 0.291611788770867 / -0.093280858553805 / -1.621258570017753 
0.678000 : -0.242046358133550 / 0.289989719301287 / -0.086591204711339 / -1.629866602240126 
0.679000 : -0.242132992648299 / 0.288359037494033 / -0.079893608776021 / -1.638470870185103 
0.680000 : -0.242212926217199 / 0.286719747115266 / -0.073188164618601 / -1.647071303309453 
0.681000 : -0.242286150988101 / 0.285071852001725 / -0.066474968925690 / -1.655667827954083 
0.682000 : -0.242352659205593 / 0.283415356063843 / -0.059754121250616 / -1.664260367270213 
0.683000 : -0.242412443213866 / 0.281750263288943 / -0.053025724065013 / -1.672848841144449 
0.684000 : -0.242465495459632 / 0.280076577744500 / -0.046289882811142 / -1.681433166122747 
0.685000 : -0.242511808495102 / 0.278394303581486 / -0.039546705954944 / -1.690013255333267 
0.686000 : -0.242551374981003 / 0.276703445037785 / -0.032796305039822 / -1.698589018408118 
0.687000 : -0.242584187689662 / 0.275004006441699 / -0.026038794741165 / -1.707160361403982 
0.688000 : -0.242610239508142 / 0.273295992215517 / -0.019274292921597 / -1.715727186721628 
0.689000 : -0.242629523441423 / 0.271579406879176 / -0.012502920686961 / -1.724289393024309 
0.690000 : -0.242642032615655 / 0.269854255054001 / -0.005724802443037 / -1.732846875155043 
0.691000 : -0.242647760281453 / 0.268120541466529 / 0.001059934047020 / -1.741399524052787 
0.692000 : -0.242646699817263 / 0.266378270952408 / 0.007851157604508 / -1.749947226667490 
0.693000 : -0.242638844732770 / 0.264627448460396 / 0.014648733576293 / -1.758489865874053 
0.694000 : -0.242624188672385 / 0.262868079056435 / 0.021452523775205 / -1.767027320385176 
0.695000 : -0.242602725418772 / 0.261100167927811 / 0.028262386419724 / -1.775559464663123 
0.696000 : -0.242574448896447 / 0.259323720387415 / 0.035078176072960 / -1.784086168830386 
0.697000 : -0.242539353175439 / 0.257538741878078 / 0.041899743580943 / -1.792607298579281 
0.698000 : -0.242497432475001 / 0.255745237977007 / 0.048726936010219 / -1.801122715080466 
0.699000 : -0.242448681167399 / 0.253943214400307 / 0.055559596584772 / -1.809632274890414 
0.700000 : -0.242393093781754 / 0.252132677007598 / 0.062397564622279 / -1.818135829857828 
0.701000 : -0.242330665007947 / 0.250313631806727 / 0.069240675469704 / -1.826633227029031 
0.702000 : -0.242261389700597 / 0.248486084958569 / 0.076088760438259 / -1.835124308552347 
0.703000 : -0.242185262883094 / 0.246650042781932 / 0.082941646737727 / -1.843608911581477 
0.704000 : -0.242102279751706 / 0.244805511758550 / 0.089799157410178 / -1.852086868177903 
0.705000 : -0.242012435679746 / 0.242952498538180 / 0.096661111263086 / -1.860558005212330 
0.706000 : -0.241915726221813 / 0.241091009943794 / 0.103527322801866 / -1.869022144265201 
0.707000 : -0.241812147118091 / 0.239221052976875 / 0.110397602161859 / -1.877479101526299 
0.708000 : -0.241701694298724 / 0.237342634822807 / 0.117271755039772 / -1.885928687693469 
0.709000 : -0.241584363888257 / 0.235455762856370 / 0.124149582624605 / -1.894370707870482 
0.710000 : -0.241460152210144 / 0.233560444647338 / 0.131030881528087 / -1.902804961464088 
0.711000 : -0.241329055791331 / 0.231656687966180 / 0.137915443714648 / -1.911231242080266 
0.712000 : -0.241191071366903 / 0.229744500789860 / 0.144803056430946 / -1.919649337419732 
0.713000 : -0.241046195884804 / 0.227823891307750 / 0.151693502134995 / -1.928059029172724 
0.714000 : -0.240894426510629 / 0.225894867927639 / 0.158586558424906 / -1.936460092913119 
